"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"CBCCS12","C12","Choice 12oz Cornstarch Cold Cup    25/Pk 40Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","27.83","","","","","","","","","","true"
"CBCCS9","C09","Choice 9oz Cornstarch Cold Cup  25/Pk 40Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","18.55","","","","","","","","","","true"
"CBCHF50","F06","Choice 50-Pk Cornstarch Heavy Fork 20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","15.93","","","","","","","","","","true"
"CBCHSS25","SS08","Choice 25-Pk Cornstarch Heavy Soup Spoon 40Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","12.5","","","","","","","","","","true"
"CBCHT50","TS08","Choice 50-Pk Cornstarch Heavy Teaspoon   20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","12.25","","","","","","","","","","true"
"CBCHT50-WR","TS08-WR","Choice 50Pk Wrapped Cornstarch Heavy Teaspoon   20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","16","","","","","","","","","","true"
"CBCMF25","F0625","Choice 25-Pk Cornstarch Medium Fork 40Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","8.1","","","","","","","","","","true"
"CBCMF50","F06","Choice 50-Pk Cornstarch Medium Fork 20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","7.94","","","","","","","","","","true"
"CBCMSS50","SS06","Choice 50-Pk Cornstarch Medium Soup Spoon 20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","7.94","","","","","","","","","","true"
"CBDL2432","CBDL2432","Cove Bay PLA Lid For 24 & 32oz Rect PLA Cont 50/Pk 12Pks/Cs","","","Disposables : Containers","","38.31","","","","","","","","","","true"
"CBDL812","CBDL812","Cove Bay PLA Lid For 8 & 12oz Rect PLA Cont  75/Pk  6Pks/Cs","","","Disposables : Containers","","16.82","","","","","","","","","","true"
"CBY1000","CB1000","Cove Bay Tad White Roll Towel    6-Rolls/Cs","","","Tissue Products : Institutional Paper","","19","","","","","","","","","","true"
"CBY1001","CBY1001","Choice Full Steam Foil Lids 50/Cs","","","Disposables","","15.64","","","","","","","","","","true"
"CBY1022","CBY1022","Choice 1 lb Oblong Foil Pan 1000/Cs","","","Disposables","","35.45","","","","","","","","","","true"
"CBY1022DL","CBY1022DL","Choice 1 lb Oblong Dome Plastic Lid 1000/Cs","","","Disposables","","17.02","","","","","","","","","","true"
"CBY1051325","CB10513","Cove Bay Kraft Paper Handle Bag ( 10 X 5 X 13 )   250/Cs","","","Disposables : Bags : Paper","","15.95","","","","","","","","","","true"
"CBY10514FW","MY-10514FW","Choice 14 X 10.5 Silver Foil Wrap  500/Pk  5Pks/Cs","","","Film & Foil : Foil","","40","","","","","","","","","","true"
"CBY120","CBY120","Choice Full Steam Foil Pans - Medium   50/Cs","","","Disposables","","19.08","","","","","","","","","","true"
"CBY121","CB121","Cove Bay 12"" X 1000' Foil","","","Film & Foil : Foil","","20","","","","","","","","","","true"
"CBY1210","CBY1210","Cove Bay 12X10.75 Pop Up Foil Sheets AP1217S 200/Bx 12Bxs/Cs","","","Film & Foil : Foil","","36.7","","","","","","","","","","true"
"CBY12100","CB12100","Cove Bay 12"" X 100' Film ( Safe Slide Blade ) 35/Cs","","","Film & Foil : Film","","23.12","","","","","","","","","","true"
"CBY1210S","CBY1210","Cove Bay 12X10.75 Pop Up Foil Sheets  500/Bx 6Bxs/Cs","","","Film & Foil : Foil","","40.34","","","","","","","","","","true"
"CBY1216DLW","NIN-1216DLW","Cove Bay CPLA Lid For 12oz Dw Paper Hot Cup  50/Pk  20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","12","","","","","","","","","","true"
